,r2,rmse,kendall,spearman,mape,month,source
EL CEDRITO,0.5377341016227861,6.629379222972973,0.3122698157218293,0.3739547086582039,107.97170121971217,1,mswep
GOASCORAN,-1.2236252618683765,8.15178865131579,0.1976427554477235,0.24970501621735858,165.1723215058483,1,mswep
LIURE,-1.0381725045226835,8.64484375,0.2991532282814286,0.3758220191349104,143.3630740994318,1,mswep
NAMASIGUE,0.46122392042225546,14.966999080882355,0.2929933013041758,0.36510107706920036,116.99031245419316,1,mswep
SABANA GRANDE,-52.25106073750548,33.37643359375,0.021910070868482283,0.025452579230276197,382.32229393115944,1,mswep
LA LABOR,-21.615454793075145,592.0218626644737,0.14255200087214456,0.2092476088385619,571.8498517612334,1,mswep
LA MESA,-0.18694437855260748,2158.835824375,0.30404111450390797,0.4518973690416279,45.82109290515163,1,mswep
POTRERILLOS,-107.95211050242065,4465.069184966215,0.08433773197272491,0.13504861655499273,1129.9254275419362,1,mswep
ESQUIAS,-1.2332147945419623,203.20648082954153,0.4529805297844204,0.6475981995776036,153.26896222415175,1,chirps
LA ERMITA,-0.44900930882253864,150.87465963161645,0.44327585764078126,0.6306680113028801,335.62073291044527,1,chirps
SULACO,-1.9502209214897306,133.95891124953127,0.22094375963790025,0.2943597748774428,592.2730278487493,1,chirps
PLAYITAS,-0.896534509148692,41.77992100477809,0.22155394648742827,0.3308431372635877,159.83841124578143,1,chirps
FLORES,0.06717216567836737,50.55982058936521,0.29496451889144254,0.4099038126751794,110.70751424758203,1,chirps
PITO SOLO,0.2805373720500348,2214.194278164708,0.3735102614011887,0.5249760552788858,35.919479208959046,1,chirps
SANTA ELENA,-0.06996963841629156,1635.559869161697,0.17741982580873794,0.2777036116816096,39.889994020670215,1,chirps
SANTA ROSA DE COPAN,0.3619041621722059,265.68698652832444,0.5683131380811446,0.7628875659220508,31.125930204090977,1,chirps
EL NISPERO,0.00038788264706302034,167.21960213852606,0.31300365948702535,0.4427633802011422,34.433766895893115,1,chirps
LA UNION,-1.4806803560816748,1811.7973740341922,0.2758620689655172,0.34285714285714275,174.52714537853828,1,chirps
SAN JOSE DE LA MONTAÃ‘A,-0.9335935284167807,3148.5581919203514,0.15437828998942132,0.19247886546842333,201.2991120813698,1,chirps
SANTA RITA,-0.7085772541488125,1203.2047705875707,0.1076923076923077,0.14735042735042733,257.4752013044033,1,chirps
LA ENTRADA,-0.41151448886244424,270.52407328877104,0.2834760710913618,0.42219304258053775,57.548896963995674,1,chirps
QUIMISTA,-4.338482283726251,1395.3294661252273,0.1752138529861181,0.24359816298192769,142.0934538087889,1,chirps
LA CEIBA,0.004071774330298039,52399.17261065772,0.6461538461538462,0.8348968105065667,36.47863593902719,1,chirps
ROATAN,-0.6807030155126321,59612.93887200581,0.3701149425287356,0.5065628476084539,64.48055057790154,1,chirps
TELA,0.39140068359794755,21493.738511717405,0.3666666666666667,0.500562851782364,40.99961917438576,1,chirps
BALFATE,-0.6174087513959745,46417.43683957091,0.38494623655913984,0.5814516129032258,44.498075248719594,1,chirps
YORO,0.2186155768981779,848.1677761229273,0.39682539682539686,0.5812097812097812,63.95113771010978,1,chirps
LA ESPERANZA,-6.250804970607233,84.98430383879258,0.36167943451095563,0.5333198938283852,418.3776534115542,1,chirps
CAYETANO,0.2429713951308381,823.2539399315197,0.4606637140512645,0.6288961332227179,47.994540012108736,1,chirps
EL GUINEO,-0.148725660854109,3853.160180336969,0.2645161290322581,0.41008064516129034,68.87706414751314,1,chirps
AZACUALPA-PATUCA,0.15244104777327894,1273.728072799616,0.462159670210394,0.6089267737058254,101.7110055746403,1,chirps
SANTA MARIA,-0.09126312638932288,658.7417743793951,0.48045977011494256,0.6662958843159065,209.85709898903747,1,chirps
